time,CCTV
0,1401.28
1,1401.28
2,1401.2799999999997
3,1401.2799999999997
4,1401.2799999999997
5,1401.2799999999997
6,1401.2799999999997
7,1401.2799999999997
8,1401.2799999999997
9,1401.2799999999997
10,1401.2799999999997
11,1401.28
12,1401.28
13,1401.28
14,1401.28
15,1401.28
16,1401.28
17,1401.28
18,1401.28
19,1401.28
20,1401.28
21,1401.28
22,1401.28
23,1401.28
24,1401.28
25,1401.28
26,1401.28
27,1401.28
28,1401.28
29,1401.28
30,1401.28
31,1401.2799999999997
32,1401.2799999999997
33,1401.2799999999997
34,1401.2799999999997
35,1401.2799999999997
36,1401.2799999999997
37,1401.2799999999997
38,1401.2799999999997
39,1401.2799999999997
40,1401.2799999999997
41,1401.2799999999997
42,1401.2799999999997
43,1401.2799999999997
44,1401.2799999999997
45,1401.2799999999997
46,1401.2799999999997
47,1401.2799999999997
48,1401.2799999999997
49,1401.2799999999997
50,1401.2799999999997
51,1401.2799999999997
52,1401.2799999999997
53,1401.2799999999997
54,1401.2799999999997
55,1401.2799999999997
56,1401.2799999999997
57,1401.2799999999997
58,1401.2799999999997
59,1401.2799999999997
60,1401.2799999999997
61,1401.2799999999997
62,1401.28
63,1401.28
64,1401.28
65,1401.28
66,1401.2799999999997
67,1401.28
68,1401.28
69,1401.28
70,1401.2799999999997
71,1401.2799999999997
72,1401.2799999999997
73,1401.2799999999997
74,1401.2799999999997
75,1401.2799999999997
76,1401.2799999999997
77,1401.2799999999997
78,1401.28
79,1401.28
80,1401.28
81,1401.28
82,1401.28
83,1401.28
84,1401.28
85,1401.28
86,1401.28
87,1401.28
88,1401.28
89,1401.28
90,1401.28
91,1401.28
92,1401.28
93,1401.28
94,1401.28
95,1401.2799999999997
96,1401.2799999999997
97,1401.2799999999997
98,1401.2799999999997
99,1401.2799999999997
100,1401.2799999999997
101,1401.28
102,1401.28
103,1401.28
104,1401.28
105,1401.28
106,1401.28
107,1401.28
108,1401.28
109,1401.28
110,1401.2799999999997
111,1401.2799999999997
112,1401.2799999999997
113,1401.2799999999997
114,1401.2799999999997
115,1401.2799999999997
116,1401.2799999999997
117,1401.2799999999997
118,1401.2799999999997
119,1401.2799999999997
120,1401.2799999999997
121,1401.2799999999997
122,1401.2799999999997
123,1401.2799999999997
124,1401.2799999999997
125,1401.2799999999997
126,1401.28
127,1401.28
128,1401.28
129,1401.28
130,1401.28
131,1401.28
132,1401.28
133,1401.28
134,1401.28
135,1401.28
136,1401.28
137,1401.28
138,1401.28
139,1401.28
140,1401.28
141,1401.28
142,1401.28
143,1401.28
144,1401.28
145,1401.28
146,1401.2799999999997
147,1401.28
148,1401.28
149,1401.28
150,1401.28
151,1401.28
152,1401.28
153,1401.28
154,1401.28
155,1401.28
156,1401.28
157,1401.28
158,1401.28
159,1401.28
160,1401.28
161,1401.28
162,1401.28
163,1401.2799999999997
164,1401.2799999999997
165,1401.28
166,1401.28
167,1401.28
168,1401.28
169,1401.28
170,1401.28
171,1401.28
172,1401.28
173,1401.28
174,1401.28
175,1401.28
176,1401.28
177,1401.28
178,1401.28
179,1401.28
180,1401.28
181,1401.28
182,1401.28
183,1401.28
184,1401.28
185,1401.28
186,1401.28
187,1401.28
188,1401.28
189,1401.28
190,1401.28
191,1401.28
192,1401.28
193,1401.28
194,1401.28
195,1401.28
196,1401.28
197,1401.28
198,1401.28
199,1401.28
200,1401.28
201,1401.28
202,1401.2799999999997
203,1401.2799999999997
204,1401.2799999999997
205,1401.2799999999997
206,1401.2799999999997
207,1401.2799999999997
208,1401.2799999999997
209,1401.2799999999997
210,1401.2799999999997
211,1401.2799999999997
212,1401.2799999999997
213,1401.2799999999997
214,1401.2799999999997
215,1401.2799999999997
216,1401.2799999999997
217,1401.2799999999997
218,1401.2799999999997
219,1401.2799999999997
220,1401.2799999999997
221,1401.28
222,1401.28
223,1401.28
224,1401.28
225,1401.28
226,1401.28
227,1401.28
228,1401.28
229,1401.28
230,1401.28
231,1401.28
232,1401.28
233,1401.2799999999997
234,1401.28
235,1401.28
236,1401.28
237,1401.28
238,1401.28
239,1401.28
240,1401.28
241,1401.28
242,1401.28
243,1401.28
244,1401.2799999999997
245,1401.2799999999997
246,1401.2799999999997
247,1401.2799999999997
248,1401.2799999999997
249,1401.2799999999997
250,1401.2799999999997
251,1401.2799999999997
252,1401.28
253,1401.2799999999997
254,1401.28
255,1401.2799999999997
256,1401.28
257,1401.28
258,1401.2799999999997
259,1401.2799999999997
260,1401.2799999999997
261,1401.2799999999997
262,1401.28
263,1401.28
264,1401.28
265,1401.28
266,1401.28
267,1401.28
268,1401.28
269,1401.28
270,1401.28
271,1401.28
272,1401.28
273,1401.28
274,1401.28
275,1401.28
276,1401.28
277,1401.28
278,1401.28
279,1401.28
280,1401.28
281,1401.28
282,1401.28
283,1401.28
284,1401.28
285,1401.28
286,1401.28
287,1401.28
288,1401.28
289,1401.28
290,1401.2799999999997
291,1401.2799999999997
292,1401.2799999999997
293,1401.2799999999997
294,1401.2799999999997
295,1401.2799999999997
296,1401.28
297,1401.28
298,1401.2799999999997
299,1401.2799999999997
300,1401.2799999999997
301,1401.2799999999997
302,1401.2799999999997
303,1401.2799999999997
304,1401.2799999999997
305,1401.28
306,1401.2799999999997
307,1401.2799999999997
308,1401.2799999999997
309,1401.28
310,1401.28
311,1401.2799999999997
312,1401.2799999999997
313,1401.2799999999997
314,1401.2799999999997
315,1401.28
316,1401.28
317,1401.2799999999997
318,1401.2799999999997
319,1401.28
320,1401.28
321,1401.28
322,1401.28
323,1401.28
324,1401.2799999999997
325,1401.2799999999997
326,1401.2799999999997
327,1401.2799999999997
328,1401.2799999999997
329,1401.28
330,1401.28
331,1401.28
332,1401.28
333,1401.28
334,1401.28
335,1401.28
336,1401.28
337,1401.28
338,1401.28
339,1401.28
340,1401.28
341,1401.28
342,1401.28
343,1401.28
344,1401.28
345,1401.2799999999997
346,1401.2799999999997
347,1401.2799999999997
348,1401.28
349,1401.28
350,1401.28
351,1401.28
352,1401.28
353,1401.28
354,1401.28
355,1401.28
356,1401.28
357,1401.28
358,1401.28
359,1401.28
